"deposit_timestamp","transaction_hash","origin_chain_id","destination_chain_id","deposit_id","depositor_address","recipient_address","input_token_address","input_token_symbol","output_token_address","output_token_symbol","input_amount","output_amount"
"2025-12-03 09:52:11+01","0xb93733b0271d6b45d46fd522836835bd50b5f0bb91c1d7b2c23345e5b3522901",1,"137","3471412","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","275.003108","2.74942039e-10"
"2025-12-03 10:19:11+01","0xcb976fd4eb920350fb66800a86d6d2c580664e7c74606770b92bc4bfdb59d92d",1,"137","3471482","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","583.723472","5.8362884e-10"
"2025-12-03 11:23:47+01","0xa1c39dfd9224b6085f8be7d04f14efdd994d0117609edab7319d67feb0f4aa2d",1,"137","3471605","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","198.6","1.98546952e-10"
"2025-12-03 11:25:11+01","0xe147f3fa4624acd9dc65c4d42fbeb5a408da397142ffc791cf72cc95eeb7cd63",1,"137","3471609","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","593.814","5.93717143e-10"
"2025-12-03 11:44:47+01","0x81d9b0287c09b7d1a7a75cb5be5e39f06ed3859c9dce1a41439bc266f1ebd8f9",1,"137","3471653","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1186.635","1.186467306e-09"
"2025-12-03 11:53:59+01","0x090f40e91b8d59be30721048b5d3801c7c137dae7cf922e2fe23d552f1a25dd6",1,"137","3471666","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1151.88","1.151716836e-09"
"2025-12-03 11:56:11+01","0xeb85bef8a0332f3cc47f9d311fbefac3ce3a43266e7b2ed2fde9e99df2f8d595",1,"137","3471670","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","586.227303","5.86131772e-10"
"2025-12-03 12:44:59+01","0x0655f2de1b5e4e6cf848b7de8e4f491611745cf4525feaca3ba926d22b5cb5d3",1,"137","3471758","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","903.63","9.03487495e-10"
"2025-12-03 12:51:35+01","0x24e0598bed6cc3c07c6b13bc2bea4e986307bc69cc6f467de02cd1ad7caa6e74",1,"137","3471777","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1752.768874","1.752522731e-09"
"2025-12-03 12:59:35+01","0xd98e9ebc67ce9a74fa93ee7ca6d2ff7b802a7d68d46cfa0258aff58516f1ee86",1,"137","3471795","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","397.2","3.97114922e-10"
"2025-12-03 13:14:11+01","0x6f4684d2b6b150da75893fb30bdd45eeff9392a75ce5002b3e870d039c676d46",1,"137","3471838","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1588.8","1.588568767e-09"
"2025-12-03 13:36:35+01","0x36aa41fefe77686013d7a7e267e608d4d616e4601049e85164671ed8c81a78b1",1,"137","3471905","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","4336.759084","4.336190564e-09"
"2025-12-03 13:46:47+01","0x6e25168a394ce424ec61cd61aba22ca310ff8d82843b5edffe253be96e7fa191",1,"137","3471954","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","134.055","1.33997256e-10"
"2025-12-03 14:22:35+01","0x38c4e8c88c1a3333c055f63e0ffd4d787fcd1637a0e3b56184463778e5dda36e",1,"137","3472048","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","297.9","2.97785869e-10"
